tensione,tempo,intersezione2,intersezione3,efficienza,errore,efficienza - errore
1805,60,173,130,"0,7514450867","0,03790426893","0,7135408178"
1771,60,183,138,"0,7540983607","0,03665685209","0,7174415086"
1750,60,166,133,"0,8012048193","0,03460579908","0,7665990202"
1720,60,193,153,"0,792746114","0,03276971669","0,7599763973"
1700,60,189,147,"0,7777777778","0,03428963332","0,7434881445"
1671,60,197,145,"0,7360406091","0,03660458148","0,6994360277"
1627,60,173,128,"0,7398843931","0,03877574527","0,7011086478"
1601,60,199,157,"0,7889447236","0,03256653617","0,7563781874"
1568,60,162,120,"0,7407407407","0,04000457221","0,7007361685"
1543,60,153,114,"0,7450980392","0,04081698038","0,7042810588"
1516,60,155,112,"0,7225806452","0,042306055","0,6802745902"
1481,60,171,127,"0,7426900585","0,03879093322","0,7038991253"
1442,60,152,106,"0,6973684211","0,04462059199","0,6527478291"
1414,60,200,148,"0,74","0,03605551275","0,7039444872"
1380,60,171,111,"0,649122807","0,04529805083","0,6038247562"
1346,60,175,86,"0,4914285714","0,05390846361","0,4375201078"
1310,60,196,35,"0,1785714286","0,06473764051","0,1138337881"
1285,60,177,18,"0,1016949153","0,07124022719","0,03045468806"
1264,60,177,9,"0,05084745763","0,07322870846","-0,02238125083"
1256,60,170,6,"0,03529411765","0,07533087338","-0,04003675573"
